qlet	Birt`h order (within pregnancy)
fems010	Height (cm): F11+
fems011	Problems measuring Height: F11+
fems012	Sitting height (cm): F11+
fems012a	Leg length (cm): F11+
fems013	Problems measuring Sitting height : F11+
fems016	Arm circumference (cm): F11+
fems017	Problems measuring Arm circumference: F11+
fems018	Waist circumference (cm): F11+
fems019	Problems measuring Waist circumference: F11+
fems020	Hip circumference (cm): F11+
fems021	Problems measuring Hip circumference: F11+
fems026	Weight (kg): F11+
fems026a	BMI: F11+
fems027	Problems measuring Weight : F11+
feat020	Att Sky Search Started: F11+
feat020a	Att Sky Search - Reason not Started: F11+
feat022	Att Sky Search - Problem with practise: F11+
feat023	Att Sky Search - Confusion with main task: F11+
feat025	Att Sky Search - Time taken (secs): F11+
feat030	Att Sky Search - Ch used stategy: F11+
feat031	Att Sky Search - Constant checking: F11+
feat032	Att Sky Search - No. incorrect LHS: F11+
feat033	Att Sky Search - No. missed out LHS: F11+
feat034	Att Sky Search - No. incorrect RHS: F11+
feat035	Att Sky Search - No. missed out RHS: F11+
feat036	Att Sky Search - Total no. incorrect: F11+
feat037	Att Sky Search - Total no. missed out: F11+
feat040	Att Sky Search - Confusion with Motor Task: F11+
feat041	Att Sky Search - Time taken (secs) Motor Task: F11+
feat045	Att Sky Search - No. missed out Motor Task: F11+
feat060	Att Sky Search - Unadjusted Main Score: F11+
feat061	Att Sky Search - Motor Score: F11+
feat062	Att Sky Search - Adjusted Main Score: F11+
feat065	Att Sky Search - Normative Score: F11+
feat070	Att Sky Search - External distraction: F11+
feat071	Att Sky Search - Talked during task: F11+
feat072	Att Sky Search - Gave up easily: F11+
feat073	Att Sky Search - Rushed/did not listen: F11+
feat074	Att Sky Search - Bored: F11+
feat075	Att Sky Search - Impulsive: F11+
feat046	Att Sky Search - Stopped prematurely Motor Task: F11+
feat100	Att Dual Task Started: F11+
feat100a	Att Dual Task - Reason not Started: F11+
feat133	Att Dual Task - Proportion sound seqs correct: F11+
feat136	Att Dual Task - Total No. sound seqs correct: F11+
feat137	Att Dual Task - Total No. sound seqs heard: F11+
feat140	Att Dual Task - Problems with practise: F11+
feat141	Att Dual Task - Confusion with main task: F11+
feat142	Att Dual Task - Ch used stategy: F11+
feat143	Att Dual Task - Constant checking: F11+
feat144	Att Dual Task - Only circled between noises: F11+
feat145	Att Dual Task - Time taken (secs): F11+
feat146	Att Dual Task - Score: F11+
feat147	Att Dual Task - Decrement Score: F11+
feat148	Att Dual Task - Normative Score: F11+
feat150	Att Dual Task - No. incorrect LHS: F11+
feat151	Att Dual Task - No. missed out LHS: F11+
feat152	Att Dual Task - No. incorrect RHS: F11+
feat153	Att Dual Task - No. missed out RHS: F11+
feat154	Att Dual Task - Total no. incorrect: F11+
feat155	Att Dual Task - Total no. missed out: F11+
feat160	Att Dual Task - Stopped prematurely: F11+
feat170	Att Dual Task - External distraction: F11+
feat171	Att Dual Task - Talked during task: F11+
feat172	Att Dual Task - Gave up easily: F11+
feat173	Att Dual Task - Rushed/did not listen: F11+
feat174	Att Dual Task - Bored: F11+
feat175	Att Dual Task - Impulsive: F11+
feat200	Att Opp Worlds Task Started: F11+
feat200a	Att Opp Worlds - Reason not Started: F11+
feat201	Att Opp Worlds Task - Problem with practise: F11+
feat203	Att Opp Worlds Task - Difficulty following instructions: F11+
feat202	Att Opp Worlds Task - Problem with main task: F11+
feat205	Att Opp Worlds Task - Time taken (secs) Same World 1: F11+
feat210	Att Opp Worlds Task - Time taken (secs) Opp World 1: F11+
feat215	Att Opp Worlds Task - Time taken (secs) Opp World 2: F11+
feat220	Att Opp Worlds Task - Time taken (secs) Same World 2: F11+
feat225	Att Opp Worlds Task - Mean Time taken (secs) Same World: F11+
feat226	Att Opp Worlds Task - Mean Time taken (secs) Opp World: F11+
feat227	Att Opp Worlds Task - Diff in Mean Times taken (secs): F11+
feat228	Att Opp Worlds Task - Normative score Same World: F11+
feat229	Att Opp Worlds Task - Normative score Opp World: F11+
feat230	Att Opp Worlds Task - Stopped prematurely: F11+
feat270	Att Opp Worlds Task - External distraction: F11+
feat272	Att Opp Worlds Task - Gave up easily: F11+
feat273	Att Opp Worlds Task - Rushed/did not listen: F11+
feat274	Att Opp Worlds Task - Bored: F11+
feat275	Att Opp Worlds Task - Impulsive: F11+
fess001	Ch Started Sensation Seeking interview: F11+
fess001a	Reason Ch did not do Sensation Seeking interview: F11+
fess020	SS1 - When water cold, prefer not to swim: F11+
fess021	SS2 - When listen to music, like it to be loud: F11+
fess022	SS3 - Stay away from movies said to be frightening: F11+
fess023	SS4 - Like to ride on roller coasters/other fast rides: F11+
fess024	SS5 - Would never gamble money, even if could afford it: F11+
fess025	SS6 - Like a movie with explosions and car chases: F11+
fess026	SS7 - Interesting to see a car accident happen: F11+
fess027	SS8 - Like  feeling of standing next to the edge/looking down: F11+
fess028	SS9 - Would be exciting to be in battle during a war: F11+
fess029	SS10 - Fun/exciting to perform/speak before a group: F11+
fess030	SS11 - If possible to visit another planet/moon, be first to sign up: F11+
fess031	SS12 - Enjoy playing exciting computer games: F11+
fess032	SS13 - Like using the diving boards when swimming: F11+
fess033	SS14 - Don’t worry about coming home late: F11+
fess034	SS15 - Don’t do homework until last minute: F11+
fess035	SS16 - Happy to go to new places/do new things on my own : F11+
fess036	SS17 - My parents or carers would be worried if they knew about some of the things I do: F11+
fess037	SS18 - Always join in with what friends are doing: F11+
fess038	SS19 - Ride a bike as fast as possible: F11+
fess039	SS20 - Enjoy playing sports and activities which could be dangerous: F11+
fess050	SS - Score A: F11+
fess051	SS - Score B: F11+
fess100	Sensation seeking - Ch wore glasses: F11+
fess101	Sensation seeking - Difficulty with instructions: F11+
fess102	Sensation seeking - Child's attempt: F11+
fess103	Sensation seeking - Distractible: F11+
fess104	Sensation seeking - Bored: F11+
fess106	Sensation seeking - Problems with computer: F11+
fess107	Sensation seeking - Impulsive: F11+
fess109	Sensation seeking - Stopped prematurely: F11+
ff0010a	Date of attendance - month
ff0010b	Date of attendance - year
ff7750	M2: Teenager has tried cannabis
ff7751	M2a: Teenager has tried cannabis, past 6 months
ff7752	CAN90: Teenager has tried cannabis at least once a week in past 6 months: TF1f
ff8170	D3a: Teenager has used drugs other than cannabis
ff8180	D3b: Teenager has tried ecstasy :TF1
ff8181	D3c: Number times teenager has tried ecstasy :TF1
ff8190	D3d: Teenager has tried amphetamines :TF1
ff8191	D3e: Number times teenager has tried amphetamines :TF1
ff8200	D3f: Teenager has tried opiates :TF1
ff8201	D3g: Number times teenager has tried opiates :TF1
ff8210	D3h: Teenager has tried cocaine/crack :TF1
ff8211	D3i: Number times teenager has tried cocaine/crack :TF1
ff8220	D3j: Teenager has tried hallucinogens :TF1
ff8221	D3k: Number times teenager has tried hallucinogens :TF1
ff8230	D3l: Teenager has tried sedatives :TF1
ff8231	D3m: Number times teenager has tried sedatives :TF1
ff8240	D3n: Teenager has tried solvents :TF1
ff8241	D3o: Number times teenager has tried solvents :TF1
ff8250	D3p: Teenager has tried other drugs :TF1
ff8260	D3r: Teenager has used prescription medicines to get high :TF1
ff8270	D3t: Teenager has used non-prescription medicines to get high :TF1
ff8300	OD310: Teenager has tried amphetamines: TF1f
ff8301	OD310: Number of times teenager has tried amphetamines: TF1f
ff8302	OD310: Age of teenager when first tried amphetamines: TF1f
ff8303	OD310: Age of teenager when last tried amphetamines: TF1f
ff8310	OD310: Teenager has tried barbiturates: TF1f
ff8311	OD310: Number of times teenager has tried barbiturates: TF1f
ff8312	OD310: Age of teenager when first tried barbiturates: TF1f
ff8313	OD310: Age of teenager when last tried barbiturates: TF1f
ff8320	OD310: Teenager has tried ecstasy: TF1f
ff8321	OD310: Number of times teenager has tried ecstasy: TF1f
ff8322	OD310: Age of teenager when first tried ecstasy: TF1f
ff8323	OD310: Age of teenager when last tried ecstasy: TF1f
ff8330	OD310: Teenager has tried cocaine: TF1f
ff8331	OD310: Number of times teenager has tried cocaine: TF1f
ff8332	OD310: Age of teenager when first tried cocaine: TF1f
ff8333	OD310: Age of teenager when last tried cocaine: TF1f
ff8340	OD310: Teenager has tried crack: TF1f
ff8341	OD310: Number of times teenager has tried crack: TF1f
ff8342	OD310: Age of teenager when first tried crack: TF1f
ff8343	OD310: Age of teenager when last tried crack: TF1f
ff8350	OD310: Teenager has tried crack: TF1f
ff8351	OD310: Number of times teenager has tried crack: TF1f
ff8352	OD310: Age of teenager when first tried crack: TF1f
ff8353	OD310: Age of teenager when last tried crack: TF1f
ff8360	OD310: Teenager has tried acid/LSD: TF1f
ff8361	OD310: Number of times teenager has tried acid/LSD: TF1f
ff8362	OD310: Age of teenager when first tried acid/LSD: TF1f
ff8363	OD310: Age of teenager when last tried acid/LSD: TF1f
ff8370	OD310: Teenager has tried heroin: TF1f
ff8371	OD310: Number of times teenager has tried heroin: TF1f
ff8372	OD310: Age of teenager when first tried heroin: TF1f
ff8373	OD310: Age of teenager when last tried heroin: TF1f
ff8380	OD310: Teenager has tried opiates: TF1f
ff8381	OD310: Number of times teenager has tried opiates: TF1f
ff8382	OD310: Age of teenager when first tried opiates: TF1f
ff8383	OD310: Age of teenager when last tried opiates: TF1f
ff8390	OD310: Teenager has tried ketamine: TF1f
ff8391	OD310: Number of times teenager has tried ketamine: TF1f
ff8392	OD310: Age of teenager when first tried ketamine: TF1f
ff8393	OD310: Age of teenager when last tried ketamine: TF1f
ff8400	OD310: Teenager has tried poppers/nitrites: TF1f
ff8401	OD310: Number of times teenager has tried poppers/nitrites: TF1f
ff8402	OD310: Age of teenager when first tried poppers/nitrites: TF1f
ff8403	OD310: Age of teenager when last tried poppers/nitrites: TF1f
ff8410	OD310: Teenager has tried solvents: TF1f
ff8411	OD310: Number of times teenager has tried solvents: TF1f
ff8412	OD310: Age of teenager when first tried solvents: TF1f
ff8413	OD310: Age of teenager when last tried solvents: TF1f
ff8420	OD310: Teenager has tried muscle building drugs/anabolic steroids: TF1f
ff8421	OD310: Number of times teenager has tried muscle building drugs/anabolic steroids: TF1f
ff8422	OD310: Age of teenager when first tried muscle building drugs/anabolic steroids: TF1f
ff8423	OD310: Age of teenager when last tried muscle building drugs/anabolic steroids: TF1f
ff8430	OD310: Teenager has tried tranquillisers: TF1f
ff8431	OD310: Number of times teenager has tried tranquillisers: TF1f
ff8432	OD310: Age of teenager when first tried tranquillisers: TF1f
ff8433	OD310: Age of teenager when last tried tranquillisers: TF1f
ff8450	D4a: Teenager has needed to use more drugs than used to, to get same effect :TF1
ff8451	D4b: Age at which teenager first needed to use more drugs to get same effect :TF1
ff8452	D4c: No. times teenager needed to use more drugs to get same effect :TF1
fg0010a	VR1: Date of attendance - month : TF2
fg0010b	VR1: Date of attendance - year : TF2
fg3097	Version number measures datasheet : TF2
fg3100	M5: Height (cms) : TF2
fg3101	M6: Height code : TF2
fg3110	M9: Arm circumference (cms) : TF2
fg3111	M10: Arm circumunference code : TF2
fg3120	M11: Waist circumference (cms) : TF2
fg3121	M12: Waist circumference code : TF2
fg3130	M15: Weight (Kgs) : TF2
fg3131	M16: Weight code : TF2
fh0010a	Date of attendance - month : TF3
fh0010b	Date of attendance - year : TF3
fh3000	M5: Height (cms) : TF3
fh3001	M6: Height code : TF3
fh3010	M15: Weight (Kgs) : TF3
fh3011	M16: Weight code : TF3
fh3015	M17: Impedance (ohms) : TF3
fh3016	M17b: Fat percentage (%) : TF3
fh3017	M17c: Total body water (Kgs) : TF3
fh3018	M18: Passed urine : TF3
fh4000	M7: Head circumference (cms) : TF3
fh4001	M8: Head circumference code : TF3
fh4010	M9: Arm circumference (cms) : TF3
fh4011	M10: Arm circumference code : TF3
fh4020	M11: Waist circumference (cms) : TF3
fh4021	M12: Waist circumference code : TF3
fh4030	V6: Sitting height (cms) : TF3
fh4031	V7: Sitting height code : TF3
FJMR009	Version: Measures form [F17]
FJMR020	M5: Height (cms) [F17]
FJMR021	M6: Height code [F17]
FJMR022	M15: Weight (kgs) [F17]
FJMR023	M16: Weight code [F17]
FJMR022a	dv: BMI [F17]
ccc900	B1: Sex of child
ccd900	D1: Sex of child
cce900	C1: Sex of child
ccg900	C1: Sex of child
ccr830	F20: Respondent has used or taken cannabis since 14th birthday
ccr835	F21: Respondent has used or taken cannabis in the past 3 months
ccr840	F22a: Respondent has tried inhaling or sniffing aerosols
ccr841	F22b: Respondent has tried inhaling or sniffing gas (butane and lighter refills)
ccr842	F22c: Respondent has tried inhaling or sniffing glue
ccr843	F22d: Respondent has tried inhaling or sniffing solvents (including petrol and paint thinners)
ccr844	F22e: Respondent has tried inhaling or sniffing poppers (amyl nitrates, liquid gold or rush)
ccr850	F23a: Respondent has tried, taken or used amphetamines
ccr851	F23b: Respondent has tried, taken or used ecstasy
ccr852	F23c: Respondent has tried, taken or used LSD
ccr853	F23d: Respondent has tried, taken or used magic mushrooms
ccr854	F23e: Respondent has tried, taken or used spanglers
ccr855	F23f: Respondent has tried, taken or used cocaine
ccr856	F23g: Respondent has tried, taken or used crack
ccr857	F23h: Respondent has tried, taken or used heroin
ccr980	G1: Respondent had help filling in the questionnaire
ccr981	G1a: A parent helped respondent filling in the questionnaire
ccr982	G1b: Someone else helped respondent filling in the questionnaire
ccr990a	G3: Date of completion of questionnaire - month
ccr990b	G3: Date of completion of questionnaire - year
ccr990c	DV: Date of completion replaced with date of receipt
ccr991a	DV: Age of study child at completion (months)
ccr991b	DV: Age of study child at completion (weeks)
ccs4130	G18: YP has used/taken cannabis since their 15th birthday
ccs4140	G19a: Since their 15th birthday YP has used cannabis before midday
ccs4141	G19b: Since their 15th birthday YP has used cannabis when they were alone
ccs4142	G19c: Since their 15th birthday YP has had memory problems when they used cannabis
ccs4143	G19d: Since their 15th birthday YP's friend/family member has told them to reduce their cannabis use
ccs4144	G19e: Since their 15th birthday YP has tried to reduce their cannabis use without succeeding
ccs4145	G19f: Since their 15th birthday YP has had problems because of their cannabis use
ccs4150	G20a: Since their 15th birthday YP has tried sniffing/inhaling aerosols
ccs4151	G20b: Since their 15th birthday YP has tried sniffing/inhaling gas
ccs4152	G20c: Since their 15th birthday YP has tried sniffing/inhaling glue
ccs4153	G20d: Since their 15th birthday YP has tried sniffing/inhaling solvents
ccs4154	G20e: Since their 15th birthday YP has tried sniffing/inhaling poppers
ccs4160	G21a: Since their 15th birthday YP has used/taken amphetamines
ccs4161	G21b: Since their 15th birthday YP has used/taken ecstasy
ccs4162	G21c: Since their 15th birthday YP has used/taken LSD
ccs4163	G21d: Since their 15th birthday YP has used/taken magic mushrooms
ccs4164	G21e: Since their 15th birthday YP has used/taken spanglers
ccs4165	G21f: Since their 15th birthday YP has used/taken cocaine
ccs4166	G21g: Since their 15th birthday YP has used/taken crack
ccs4167	G21h: Since their 15th birthday YP has used/taken heroin
ccs4168	G21i: Since their 15th birthday YP has used/taken ketamine
ccs4169	G21j: Since their 15th birthday YP has used/taken steroids
ccs4170	G21k: Since their 15th birthday YP has used/taken white widows
ccs9980	O1: YP had help completing this questionnaire
ccs9981	O1a: A parent helped YP complete this questionnaire
ccs9982	O1b: Someone else helped YP complete this questionnaire
ccs9990a	O3: Date of completion of questionnaire - month
ccs9990b	O3: Date of completion of questionnaire - year
ccs9990c	DV: Date of completion replaced with date of receipt
ccs9991a	DV: Age of study child at completion (months)
ccs9991b	DV: Age of study child at completion (weeks)
cct5072	E20C: Respondent had memory problems when using cannabis
cct5073	E20D: Respondent's friends or family members told respondent that respondent ought to reduce cannabis use
cct5074	E20E: Respondent tried to reduce or stop cannabis use without succeeding
cct5075	E20F: Respondent had problems (e.g. argument, fight, accident, bad result at school, other problems) because of use of cannabis
cct5100	E21A: Drug ever used in life by respondent: cocaine
cct5101	E21A1: Drug used in last year by respondent: cocaine
cct5102	E21A2: Drug used in last 3 months by respondent: cocaine
cct5110	E21B: Drug ever used in life by respondent: crack
cct5111	E21B1: Drug used in last year by respondent: crack
cct5112	E21B2: Drug used in last 3 months by respondent: crack
cct5120	E21C: Drug ever used in life by respondent: amphetamine type stimulants
cct5121	E21C1: Drug used in last year by respondent: amphetamine type stimulants
cct5122	E21C2: Drug used in last 3 months by respondent: amphetamine type stimulants
cct5130	E21D: Drug ever used in life by respondent: inhalants
cct5131	E21D1: Drug used in last year by respondent: inhalants
cct5132	E21D2: Drug used in last 3 months by respondent: inhalants
cct5140	E21E: Drug ever used in life by respondent: sedatives or sleeping pills
cct5141	E21E1: Drug used in last year by respondent: sedatives or sleeping pills
cct5142	E21E2: Drug used in last 3 months by respondent: sedatives or sleeping pills
cct5150	E21F: Drug ever used in life by respondent: hallucinogens
cct5151	E21F1: Drug used in last year by respondent: hallucinogens
cct5152	E21F2: Drug used in last 3 months by respondent: hallucinogens
cct5160	E21G: Drug ever used in life by respondent: opiods
cct5161	E21G1: Drug used in last year by respondent: opiods
cct5162	E21G2: Drug used in last 3 months by respondent: opiods
cct5170	E21H: Drug ever used in life by respondent: other stimulants (e.g. mephedrone, khat)
cct5171	E21H1: Drug used in last year by respondent: other stimulants (e.g. mephedrone, khat)
cct5172	E21H2: Drug used in last 3 months by respondent: other stimulants (e.g. mephedrone, khat)
cct5180	E21I: Drug ever used in life by respondent: other
cct5181	E21I1: Drug used in last year by respondent: other
cct5182	E21I2: Drug used in last 3 months by respondent: other
cct9980	G1: Respondent had help to fill questionnaire in
cct9981	G1A: Respondent had help to fill questionnaire in: parent helped
cct9982	G1B: Respondent had help to fill questionnaire in: someone else helped
cct9990a	Received date - Month
cct9990b	Received date - Year
cct9991a	DV: Age of study child at completion (months)
cct9991b	DV: Age of study child at completion (weeks)
cct9991c	DV: Age of study child at completion (years)
CCU2000	C1: Come across Internet sites and chatrooms that discuss self-harm and suicide
CCU2010	C2a: Read news reports about people who have killed or hurt themselves
CCU2011	C2b: Read personal accounts of people who have hurt themselves
CCU2012	C2c: Read general information about self-harm or suicide
CCU2013	C2d: Read sites dedicated to those who self-harm
CCU2014	C2e: Read sites offering advice, help or support regarding self-harm or suicidal feelings
CCU2015	C2f: Read sites giving information about how to hurt or kill yourself
CCU2016	C2g: Read other information
CCU2016a	C2g-text: Images videos, blogs or other site that specifies image or video content
CCU2016b	C2g-text: Blogs
CCU2016c	C2g-text: Forums or chat rooms
CCU2016d	C2g-text: Other site
CCU2020	C3: Looked for information about self-harm using search engine
CCU2025	C4: Looked for information about suicide using search engine
CCU2030	C5: Used Internet to discuss self-harm or suicidal feelings with others (e.g. social networking sites, chat rooms, message boards, help sites)
CCU2040	C6a: Hurt themselves on purpose in any way (e.g. by taking an overdose of pills, or by cutting themselves)
CCU2041	C6b: Number of times in last year hurt themselves on purpose
CCU2042	C7: Last time hurt themselves on purpose
CCU2045	C8a: Last time hurt themselves on purpose: swallowed pills or something poisonous
CCU2046	C8b: Last time hurt themselves on purpose: cut themselves
CCU2047	C8c: Last time hurt themselves on purpose: burnt themselves e.g. with a cigarette
CCU2048	C8d: Last time hurt themselves on purpose: scratched themselves, pulled their hair,headbutted or punched something to the point of feeling pain
CCU2049	C8e: Last time hurt themselves on purpose: something else
CCU2049a	C8e-text: Self-battery
CCU2049b	C8e-text: Hanging/strangulation/suffocation
CCU2050a	C9a-text: Painkillers
CCU2050b	C9a-text: Stronger painkillers
CCU2050c	C9a-text: Sleeping pills
CCU2050d	C9a-text: Anti-depression/anxiety
CCU2050e	C9a-text: Alcohol/illicit drugs
CCU2050f	C9a-text: Other substance
CCU2060	C10a: Hurt themselves on that occasion: because they wanted to show how desperate they were feeling
CCU2061	C10b: Hurt themselves on that occasion: because they wanted to die
CCU2062	C10c: Hurt themselves on that occasion: because they wanted to punish themself
CCU2063	C10d: Hurt themselves on that occasion: because they wanted to frighten someone
CCU2064	C10e: Hurt themselves on that occasion: because they wanted to get relief from a terrible state of mind
CCU2065	C10f: Hurt themselves on that occasion: for some other reason
CCU2065a	C10f-text: Anger/frustration
CCU2065b	C10f-text: Release / coping mechanism
CCU2065c	C10f-text: Curiosity
CCU2065d	C10f-text: Stress
CCU2065e	C10f-text: Life problems
CCU2065f	C10f-text: Attention
CCU2065g	C10f-text: To feel in control
CCU2065h	C10f-text: Distraction / replace emotional pain
CCU2065i	C10f-text: Wanted to feel pain
CCU2065j	C10f-text: Negative feelings towards self
CCU2065k	C10f-text: Felt depressed
CCU2065l	C10f-text: Wanted to feel alive / feel something
CCU2065m	C10f-text: Felt like it / don't know
CCU2065n	C10f-text: Good feeling / makes me feel better
CCU2065o	C10f-text: So as not to hurt others
CCU2065p	C10f-text: Other reason
CCU2070	C11: After hurting themselves on that occasion how they felt
CCU2071	C12a: After hurting themselves the last time, sought medical help from: GP (fami
CCU2072	C12b: After hurting themselves the last time, sought medical help from: Hospital
CCU2073	C12c: After hurting themselves the last time, did not seek help from a health professional
CCU2074	C12d: After hurting themselves the last time, sought medical help from: other health professional
CCU2080	C13: On any of occasions of hurting themselves on purpose, seriously wanted to kill themselves
CCU2081	Derived: Suicidal self-harm
CCU3301	D37b: Age when first tried cannabis
CCU3302	D38: In the last 12 months, frequency used cannabis
CCU3305	D39a: Last time used cannabis
CCU3306	D39b: Age when last used cannabis
CCU3310	D40: Number of joints/spliffs, pipes or bongs would have on a typical day, when smoking cannabis
CCU3320	D41a: In the past 12 months, used cannabis before midday
CCU3321	D41b: In the past 12 months, used cannabis when they were alone
CCU3322	D41c: In the past 12 months, had memory problems when they've used cannabis
CCU3323	D41d: In the past 12 months, friends or members of respondent's family have ever told them they ought to reduce their cannabis use
CCU3324	D41e: In the past 12 months, tried to reduce or stop their cannabis use without success
CCU3325	D41f: In the past 12 months, had problems because of their use of cannabis (argument, fight, accident, bad result at school, other problems)
CCU3330	DV: Cannabis Abuse Screening Test (CAST) score
CCU3331	DV: Cannabis Abuse Screening Test (CAST) group
CCU3400	D42a: In their life YP has ever used cocaine (coke, crack etc.)
CCU3401	D42ai: In the last year YP has tried  cocaine (coke, crack etc.)
CCU3402	D42aii: In the last three months YP has tried  cocaine (coke, crack etc.)
CCU3410	D42c: In their life YP has ever used amphetamine-type stimulants (speed, diet pills, ecstasy, etc.)
CCU3411	D42ci: In the last year YP has tried amphetamine-type stimulants (speed, diet pills, ecstasy, etc.)
CCU3412	D42cii: In the last three months YP has tried  amphetamine-type stimulants (speed, diet pills, ecstasy, etc.)
CCU3420	D42d: In their life YP has ever used inhalants (nitrous, glue, petrol, paint thinner,etc.)
CCU3421	D42di: In the last year YP has tried  inhalants (nitrous, glue, petrol, paint thinner,etc.)
CCU3422	D42dii: In the last three months YP has tried  inhalants (nitrous, glue, petrol,paint thinner,etc.)
CCU3430	D42e: In their life YP has ever used sedatives or sleeping pills (Valium, Rohypnol, etc.)
CCU3431	D42ei: In the last year YP has tried  sedatives or sleeping pills (Valium, Rohypnol, etc.)
CCU3432	D42eii: In the last three months YP has tried sedatives or sleeping pills (Valium, Rohypnol, etc.)
CCU3440	D42f: In their life YP has ever used hallucinogens (LSD, acid, mushrooms, PCP, Ketamine, Special K, etc.)
CCU3441	D42fi: In the last year YP has tried  hallucinogens (LSD, acid, mushrooms, PCP, Ketamine, Special K, etc.)
CCU3442	D42fii: In the last three months YP has tried  hallucinogens (LSD, acid, mushrooms, PCP, Ketamine, Special K, etc.)
CCU3450	D42g: In their life YP has ever used opioids (heroin, morphine, methadone, codeine, etc.)
CCU3451	D42gi: In the last year YP has tried  opioids (heroin, morphine, methadone, codeine,etc.)
CCU3452	D42gii: In the last three months YP has tried  opioids (heroin, morphine, methadone, codeine,etc.)
CCU3460	D42h: In their life YP has ever used injected illicit drugs
CCU3461	D42hi: In the last year YP has tried  injected illicit drugs
CCU3462	D42hii: In the last three months YP has tried  injected illicit drugs
CCU3470	 DV:  Count of types illicit substances YP has ever used
CCU3471	 DV:  Count of types illicit substances YP has used in the last year
CCU3472	 DV:  Count of types illicit substances YP has used in the last 3 months
CCU9980	F1: Had help to complete questionnaire
CCU9981	F1ai: A parent helped respondent complete questionnaire
CCU9982	F1aii: Someone else helped respondent complete questionnaire
CCU9990a	 Date questionnaire completed: Month
CCU9990b	 Date questionnaire completed: Year
CCU9991	DV: Age of respondent at completion (years)
CCXD800	Q16a: Frequency YP has been feeling optimistic about the future in the last 2 weeks
CCXD801	Q16b: Frequency YP has been feeling useful in the last 2 weeks
CCXD802	Q16c: Frequency YP has been feeling relaxed in the last 2 weeks
CCXD803	Q16d: Frequency YP has been feeling interested in other people in the last 2 weeks
CCXD804	Q16e: Frequency YP has had energy to spare in the last 2 weeks
CCXD805	Q16f: Frequency YP has been dealing with problems well in the last 2 weeks
CCXD806	Q16g: Frequency YP has been thinking clearly in the last 2 weeks
CCXD807	Q16h: Frequency YP has been feeling good about self in the last 2 weeks
CCXD808	Q16i: Frequency YP has been feeling close to other people in the last 2 weeks
CCXD809	Q16j: Frequency YP has been feeling confident in the last 2 weeks
CCXD810	Q16k: Frequency YP has been able to make up own mind about things in the last 2 weeks
CCXD811	Q16l: Frequency YP has been feeling loved in the last 2 weeks
CCXD812	Q16m: Frequency YP has been interested in new things in the last 2 weeks
CCXD813	Q16n: Frequency YP has been feeling cheerful in the last 2 weeks
CCXD814	DV: Warwick-Edinburgh Mental Well-being Scale total score
CCXD850	Q17a: YP feels that they are a person of worth, at least on an equal plane with others
CCXD851	Q17b: YP feels that they have a number of good qualities
CCXD852	Q17c: YP feels they are able to do things as well as most other people
CCXD853	Q17d: YP feels that they do not have much to be proud of
CCXD854	Q17e: YP takes a positive attitude towards themselves
CCXD855	Q17f: YP thinks they are no good at all
CCXD856	Q17g: YP feels they are a useful person to have around
CCXD857	Q17h: YP feels they cannot do anything right
CCXD858	Q17i: YP feels that when they do a job, they do it well
CCXD859	Q17j: YP feels that their life is not very useful
CCXD860a	DV: Bachman self esteem score (complete cases)
CCXD860b	DV: Bachman self esteem score (prorated)
CCXD860c	DV: 
CCXD900	Q18a: YP felt miserable or unhappy in the past 2 weeks
CCXD901	Q18b: YP has been having fun in the past 2 weeks
CCXD902	Q18c: YP did not enjoy anything at all in the past 2 weeks
CCXD903	Q18d: YP felt so tired that they just sat around and did nothing in the past 2 weeks
CCXD904	Q18e: YP was very restless in the past 2 weeks
CCXD905	Q18f: YP felt they were no good any more in the past 2 weeks
CCXD906	Q18g: YP cried a lot in the past 2 weeks
CCXD907	Q18h: YP felt happy in the past 2 weeks
CCXD908	Q18i: YP found it hard to think properly or concentrate in the past 2 weeks
CCXD909	Q18j: YP hated themselves in the past 2 weeks
CCXD910	Q18k: YP enjoyed doing lots of things in the past 2 weeks
CCXD911	Q18l: YP felt they were a bad person in the past 2 weeks
CCXD912	Q18m: YP felt lonely in the past 2 weeks
CCXD913	Q18n: YP thought nobody really loved them in the past 2 weeks
CCXD914	Q18o: YP thought they could never be as good as other kids in the past 2 weeks
CCXD915	Q18p: YP felt they did everything wrong in the past 2 weeks
CCXD916	Q18q: YP has had a good time in the past 2 weeks
CCXD917	DV: Moods and Feelings total score
FJCI600	Diag1: Primary diagnosis indicator [F17]
FJCI601	Diag2: Secondary diagnosis indicator [F17]
FJCI602	Gad: Presence of gad symptoms [F17]
FJCI603	Deprmild: Mild depressive episode [F17]
FJCI604	Panicd: Panic disorder syndrome [F17]
FJCI605	Phobag: Agoraphobia [F17]
FJCI606	Phobsoc: Social phobia [F17]
FJCI607	Phobspec:Specific phobia/s [F17]
FJCI608	Deprmod: Moderate depressive episode [F17]
FJCI609	Deprsev: Severe depressive episode [F17]
FJCI610	Cfs: Chronic fatigue indicator [F17]
FJCI611	Alchaz: Not used but set to zero [F17]
FJCI1000	DV:Deptot:Sum of all the 5 depression symptom scores [F17]
FJCI1001	DV:Casediag: Participant has ICD-10 diagnosis of depression [F17]
FJCI1002	DV: Depsymp: Participant has symptoms of depression (lower criteria than ICD-10) [F17]
FJCI1003	DV:Diagsymp:Participant has symptoms or diagnosis of depression [F17]
